,price_USD,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude,type_casa,type_departamento,type_ph
283,170000.0,61.0,2.0,2136.5548604191617,1.0,-34.545593,-58.553432,0,1,0
284,95000.0,49.0,2.0,2136.5548604191617,1.0,-34.54498,-58.551258,0,1,0
285,89000.0,65.0,1.0,2136.5548604191617,1.0,-34.549755,-58.555843,0,1,0
286,138000.0,60.0,2.0,2136.5548604191617,1.0,-34.548,-58.557747,0,1,0
287,165000.0,110.0,3.0,2136.5548604191617,2.0,-34.54798,-58.55419,0,0,1
288,285000.0,230.0,4.0,2136.5548604191617,4.0,-34.54624,-58.55627,1,0,0
289,95000.0,96.0,3.0,2136.5548604191617,1.0,-34.54613,-58.55643,0,0,1
290,130000.0,45.0,1.0,2136.5548604191617,1.0,-34.54956,-58.556236,0,1,0
291,90000.0,42.0,1.0,2136.5548604191617,1.0,-34.548473,-58.557133,0,1,0
292,90000.0,42.0,1.0,2136.5548604191617,1.0,-34.548473,-58.557133,0,1,0
293,90000.0,42.0,1.0,2136.5548604191617,1.0,-34.548473,-58.557133,0,1,0
294,90000.0,40.0,1.0,2136.5548604191617,1.0,-34.548473,-58.557133,0,1,0
