,price_USD,type,covered_surface_m2,bedrooms,bathrooms,latitude,longitude,seller,antiquity
2003,60000.0,ph,70.0,2.0,2.0,-34.56267,-58.544598,ALAN FANATICO GESTION INMOBILIARIA,
2004,115000.0,casa,75.0,2.0,2.0,-34.53665,-58.55964,Sarro Pucheta Propiedades,0.0
2005,194000.0,casa,211.0,5.0,2.0,-34.552513,-58.532547,MASS PROPIEDADES,55.0
2006,94000.0,casa,113.0,2.0,2.0,-34.5716,-58.57091,Mazorra Propiedades,
2007,75000.0,ph,70.0,1.0,1.0,-34.54765,-58.57233,Alonso Inmobiliaria,30.0
2008,250000.0,departamento,70.0,2.0,2.0,-34.54817,-58.55783,Alonso Inmobiliaria,7.0
2009,130000.0,casa,,2.0,1.0,-34.559288,-58.563972,PALACIO - Viviendas y Galpones.,0.0
2010,120000.0,ph,110.0,2.0,2.0,-34.583378,-58.537704,PALACIO - Viviendas y Galpones.,15.0
2011,110000.0,ph,,2.0,1.0,,,PALACIO - Viviendas y Galpones.,
2012,150000.0,casa,105.0,2.0,,-34.586716,-58.54287,PALACIO - Viviendas y Galpones.,
2013,295000.0,casa,164.0,2.0,2.0,-34.55701,-58.53952,Gordyn Biello -mat.cucicba 959 -mat.moron 1574,30.0
2014,69000.0,departamento,42.0,0.0,1.0,-34.554665,-58.55929,Montenegro Propiedades,0.0
2015,70000.0,departamento,35.0,,1.0,-34.54915,-58.55105,Alonso Inmobiliaria,6.0
2016,55000.0,departamento,35.0,,1.0,-34.56284,-58.54445,Alonso Inmobiliaria,
2017,134000.0,casa,114.0,2.0,3.0,-34.543293,-58.56604,GARDEN PROPIEDADES,
2018,60000.0,departamento,45.0,1.0,1.0,,,GARDEN PROPIEDADES,40.0
2019,97000.0,ph,68.0,2.0,1.0,-34.563828,-58.546646,GARDEN PROPIEDADES,30.0
2020,94000.0,departamento,50.0,1.0,1.0,-34.565357,-58.549572,GARDEN PROPIEDADES,8.0
2021,440000.0,casa,388.0,4.0,4.0,-34.56328,-58.547302,GARDEN PROPIEDADES,25.0
